code_metier;nom_usuel;adresse;code_postal;code_insee;code_dpt;code_reg;nom_commune;x_wgs84;y_wgs84
SSP00011350101;Ancienne décharge de La Colombière;LA COLOMBIÈRE;22210;22039;22;53;LA CHEZE;-2.6535497;48.134148
SSP00015410101;Ancienne décharge de Keravel;KERAVEL;22480;22294;22;53;SAINT GILLES PLIGEAUX;-3.0881782;48.3656
SSP00015740101;Ancienne décharge de la Lande Cormeré;LA LANDE CORMERÉ;35480;35176;35;53;MESSAC;-1.8228347;47.810787
SSP00021960101;Ancienne décharge de la Baluyère;LA LONGUERAIE;56800;56165;56;53;PLOERMEL;-2.4345949;47.891575
SSP00026480101;Ancienne décharge de Malingeais;MALINGEAIS;22400;22077;22;53;HENANSAL;-2.4562933;48.506554
SSP00027190101;Ancienne décharge du Moulin de Doualan;MOULIN DE DOUALAN;22410;22117;22;53;LANTIC;-2.8709872;48.590084
SSP00029340101;Ancien garage;1 r de bouin;22400;22093;22;53;LAMBALLE;-2.5108821;48.469185
SSP00033920101;DUCRISTEL;35 AVENUE GABRIEL PÉRI;95870;95063;95;11;BEZONS;2.2131658;48.929543
SSP00035630101;TEPF puits Lacq 74 - LA074;64 ROUTE DÉPARTEMENTALE 817;64170;64300;64;75;LACQ;-0.646166;43.420673
SSP00040930101;AFOUD ex Aboulghazi;315 RUE DE LA PETITE VERDETTE;84130;84092;84;93;LE PONTET;4.860164;43.97528
SSP00041180101;JUX;CHEMIN DE LA FECHT;68000;68066;68;44;COLMAR;7.343248;48.10072
SSP00043920101;Ancienne décharge du Pont de Gué;RUE DU PONT DE GUÉ;56430;56127;56;53;MAURON;-2.2791014;48.087765
SSP00043000101;Ancienne décharge de Kergascogne;KERGASCOGNE;56150;56010;56;53;BAUD;-3.0615885;47.90426
SSP00043560101;Ancienne décharge de la Roche aux chats;LANDE DE SAINT LÉONARD;56200;56229;56;53;SAINT MARTIN SUR OUST;-2.2498515;47.76708
SSP00043670101;Ancienne décharge du Bego;LE BEGO;56340;56168;56;53;PLOUHARNEL;-3.1369092;47.595013
SSP00046530101;Sources Maraini;FAÏSSE D''AGEL;06440;06091;06;93;PEILLE;7.409135;43.76952
SSP00047100101;Ancienne décharge du Clos Noël;LE CLOS NOËL;22550;22268;22;53;RUCA;-2.3337498;48.536026
SSP00047610101;Lycee public Frederic Joliot-Curie;4 AVENUE DES GOUMS;13400;13005;13;93;AUBAGNE;5.561271;43.29299
SSP00047740101;Ecole élémentaire Oasis;BOULEVARD DE LA PADOUANE;13015;13215;13;93;MARSEILLE 15E ARRONDISSEMENT;5.368543;43.35419
SSP00048430101;MYRRA;ZA LES PORTES DE LA FORET 22 ALLÉE DU CLOS DE CHARMES;77090;77121;77;11;COLLEGIEN;2.6744273;48.82991
SSP00048950101;AUTELY;253 AVENUE VICTOR HUGO;26000;26362;26;84;VALENCE;4.8865404;44.919155
SSP00050520101;Ancienne décharge de Fougeré;ROUTE D138;;49143;49;52;FOUGERE;-0.16788858;47.643566
SSP00055600101;Ancienne décharge de Sarcé;CHEMIN VICINAL 3;72360;72327;72;52;SARCE;0.22505757;47.71287
SSP00054180101;DEB ARMA;25 AVE AMPÈRE;91320;91689;91;11;WISSOUS;2.3212044;48.727837
SSP00057190101;Ancienne décharge de NOYEN-SUR-SARTHE;ROUTE DE TASSE;72430;72223;72;52;NOYEN SUR SARTHE;-0.106558844;47.873974
SSP00056880101;Ancien site minier uranifère - BOIS DES GARDES;MALMENAIDE;63600;63374;63;84;SAINT MARTIN DES OLMES;3.785988;45.51654
SSP00058370101;Stériles miniers (fiche 85A-M.L.142);LES AUDINIÈRES;;49273;49;52;SAINT CRESPIN SUR MOINE;-1.1721306;47.101097
SSP00058420101;Stériles miniers (fiche 85A-M.L.172);LA GARNIÈRE;;49273;49;52;SAINT CRESPIN SUR MOINE;-1.2181952;47.10414
SSP00070540101;Décharge d'ordures ménagères;COURBAY;53250;53196;53;52;SAINT AIGNAN DE COUPTRAIN;-0.2710032;48.463196
SSP00062990101;DUPLISTYLE;402 ROUTE DE MAUREVERT;77390;77107;77;11;CHAUMES EN BRIE;2.8213649;48.648445
SSP00063880101;MAG PRIM (Ex PRIMEURS);RUE DU VIADUC;77210;77014;77;11;AVON;2.7260602;48.41568
SSP00064950101;AD INDUSTRIE (Ex DEBRIE DURUAL);FERME DE VILLEPECLE (ALLÉE ROYALE);77127;77251;77;11;LIEUSAINT;2.5266109;48.629467
SSP00065060101;ESSO;13-23 RUE PAUL LAFARGUE;92800;92062;92;11;PUTEAUX;2.2458208;48.886097
SSP00069160101;Ancienne décharge La Mamoine;LAMBROGAS;44420;44211;44;52;LA TURBALLE;-2.4971366;47.341312
SSP00069210101;Ancienne décharge de Mauves-sur-Loire;ROUTE DE THOUARE;44470;44094;44;52;MAUVES SUR LOIRE;-1.4000096;47.2908
SSP00070070101;Ancienne décharge de Machecoul;LES SIX PIÈCES;44270;44087;44;52;MACHECOUL;-1.7172275;47.00938
SSP00069180101;Ancienne décharge d'Indre;LE PRÉ DU PATIS;44610;44074;44;52;INDRE;-1.6675954;47.19965
SSP00069230101;Ancienne décharge de Nantes;ESNOULT DES CHÂTELETS;44300;44109;44;52;NANTES;-1.541778;47.194977
SSP00069410101;Ancienne décharge de Thouare-sur-Loire;ROUTE DU CHENE VERT;44470;44204;44;52;THOUARE SUR LOIRE;-1.4358877;47.286316
SSP00069460101;Ancienne décharge de La Bernerie-en-Retz;MOULIN DE LA JARRIE;44760;44012;44;52;LA BERNERIE EN RETZ;-2.0282824;47.091503
SSP00069280101;GRANJOUAN SA;LA MALNOUE;44400;44143;44;52;REZE;-1.5349473;47.156578
SSP00069310101;Ancien Centre d'Enfouissement Technique de la Tougas;VALLÉE DE LA TOUGAS;44800;44074;44;52;INDRE;-1.6473626;47.199554
SSP00069310101;Ancien Centre d'Enfouissement Technique de la Tougas;VALLÉE DE LA TOUGAS;44800;44162;44;52;SAINT HERBLAIN;-1.6473626;47.199554
SSP00069390101;GRANJOUAN;ROUTE DU PROUZEAU;44470;44026;44;52;CARQUEFOU;-1.4409193;47.289883
SSP00069420101;Ancienne décharge de Sainte-Luce-sur-Loire;LA VERDURE;44980;44172;44;52;SAINTE LUCE SUR LOIRE;-1.4847088;47.240765
SSP00070280101;EX DEPOT CHAMPENOIS;2 RUE DES CHEVALIERS;44400;44143;44;52;REZE;-1.5507119;47.1962
